ID,Name,Title,Father_ID,Mother_ID,Spouse_ID,Brother_ID,Sister_ID,Son_ID,Daughter_ID,,,,,
1,Alfred the Great,King of the Anglo Saxons,None,None,2,None,None,3,None,,,,,
2,Ealhswith of Mercia,Queen Consort,None,None,1,None,None,3,None,,,,,
3,Edward the Elder,King of the Anglo Saxons,1,2,"4,5,6",None,None,"7,8,9",None,,,,,
4,Ecgwynn,Queen Consort,None,None,3,None,None,7,None,,,,,
5,Elfleda,Queen Consort,None,None,3,None,None,None,None,,,,,
6,Edgiva,Queen Consort,None,None,3,None,None,"8,9",None,,,,,
7,Athelstan,King of the Anglo Saxons,3,4,None,None,None,None,None,,,,,
8,Edmund I,King of the English,3,6,10,9,None,"11,12",None,,,,,
9,Edred,King of the English,3,6,None,8,None,None,None,,,,,
10,Elgiva,Queen Consort,None,None,8,None,None,"11,12",None,,,,,
11,Edgar,King of the English,8,10,"13,14",12,None,"15,16",None,,,,,
12,Eadwig,King of the English,8,10,None,11,None,None,None,,,,,
13,Ethelfleda,Queen Consort,None,None,11,None,None,15,None,,,,,
14,Elfrida,Queen Consort,None,None,11,None,None,16,None,,,,,
15,Edward the Martyr,King of the English,11,13,None,None,None,None,None,,,,,
16,Aethelred the Unready,King of the English,11,14,"21,22",None,None,"25,26",None,,,,,
17,Sweyn Forkbeard,King of the Danes,None,None,18,None,None,23,None,,,,,
18,Grunhilda,Queen of the Danes,None,None,17,None,None,23,None,,,,,
19,Richard I,Duke of Normandy,None,None,None,None,None,20,21,,,,,
20,Richard II,Duke of Normandy,19,None,None,None,21,32,None,,,,,
21,Emma of Normandy,Queen Consort,19,None,"16,23",20,None,"26,27",None,,,,,
22,Elfreda,Queen Consort,None,None,16,None,None,25,None,,,,,
23,Cnut,"King of Denmark,Norway and England",17,18,"21,24",None,None,"27,28",None,,,,,
24,Elfigfu,Queen of the Danes,None,None,23,None,None,28,None,,,,,
25,Edmund II Ironside,King of the English,16,22,31,None,None,35,None,,,,,
26,Edward the Confessor,King of the English,16,21,30,None,None,None,None,,,,,
27,Harthacnut,King of the English,23,21,None,None,None,None,None,,,,,
28,Harold I Harefoot,King of the English,23,24,None,None,None,None,None,,,,,
29,Godwin,Earl of Wessex,None,None,None,None,None,34,30,,,,,
30,Edith of Wessex,None,29,None,26,34,None,None,None,,,,,
31,Ealdgyth,Queen Consort,None,None,25,None,None,35,None,,,,,
32,Robert ,Duke of Normandy,20,None,33,None,None,42,None,,,,,
33,Herleva,Duchess of Normandy,None,None,32,None,None,42,None,,,,,
34,Harold II Godwinson,King of the English,29,None,"38,39",None,30,None,None,,,,,
35,Edward the Aethling,None,25,31,None,None,None,36,37,,,,,
36,Edgar the Aethling,None,35,None,None,None,37,None,None,,,,,
37,Margaret of Wessex,Queen Consort of Scotland,35,None,40,36,None,None,41,,,,,
38,Edith Swan Neck,Queen Consort,None,None,34,None,None,None,None,,,,,
39,Edith of Mercia,Queen Consort,None,None,34,None,None,None,None,,,,,
40,Malcom III of Scotland,King of Scotland,None,None,37,None,None,None,41,,,,,
41,Matilda of Scotland,Queen Consort of England,40,37,46,None,None,None,50,,,,,
42,William The Conqueror,King of England,32,33,43,None,None,"44,45,46",47,,,,,
43,Matilda of Flanders,Queen Consort of England,None,None,42,None,None,"44,45,47",47,,,,,
44,Robert Curthose,Duke of Normandy,42,43,None,"45,46",47,None,None,,,,,
45,William II,King of England,42,43,None,"44,46",47,None,None,,,,,
46,Henry I,King of England,42,43,41,"44,45",47,None,50,,,,,
47,Adela,None,42,43,49,"44,45,46",None,51,None,,,,,
48,Adelician of Louvain,Queen Consort of England,None,None,46,None,None,None,None,,,,,
49,Stephen,Count of Blois,None,None,47,None,None,51,None,,,,,
50,Empress Matilda,Queen of England,46,41,"52,54",None,None,55,None,,,,,
51,Stephen ,King of England,49,47,53,None,None,None,None,,,,,
52,Henry V,Holy Roman Emperor,None,None,50,None,None,None,None,,,,,
53,Matilda of Boulogne,Countess of Blois,None,None,49,None,None,51,None,,,,,
54,Geoffrey of Plantagenet,Count of Anjou,None,None,50,None,None,55,None,,,,,
55,Henry II,King of England,54,50,56,None,None,"58,59,60",None,,,,,
56,Eleanor of Aquitaine,"Duchess of Aquitaine, Queen Consort of England",None,None,"55,57",None,None,"58,59,60",None,,,,,
57,Louis VII ,King of France,None,None,56,None,None,None,None,,,,,
58,Henry the Young King,King of England,55,56,None,"59,60",None,None,None,,,,,
59,Richard Lionheart,King of England,55,56,61,"58,60",None,None,None,,,,,
60,John,King oF England,55,56,62,"58,59",None,64,None,,,,,
61,Berengaria of Navarre,Queen Consort of England,None,None,59,None,None,None,None,,,,,
62,Isabella of Gloucester,None,None,None,60,None,None,None,None,,,,,
